RMS V	RMS I	PF	Active power	Reactive power	Apparent power	TV	Microwave	Fan
230.12	4.01	0.84	1629.75	1039.08	1932.81	0	1	1
230.16	4	0.84	894.76	567.98	1059.81	0	1	1
230.29	3.99	0.84	195.96	124.56	232.19	0	1	1
230.13	3.99	0.85	1631.29	1029.04	1928.74	0	1	1
230.15	3.99	0.85	894.82	562.68	1057.03	0	1	1
230.26	3.98	0.85	191.02	120.82	226.02	0	1	1
230.11	3.98	0.85	1635.86	1029.43	1932.81	0	1	1
230.16	3.97	0.85	1010.89	634.18	1193.34	0	1	1
230.13	3.97	0.85	205.55	128.8	242.57	0	1	1
230.22	3.97	0.85	1203.08	749.96	1417.69	0	1	1
230.18	3.96	0.85	1026.56	637.25	1208.27	0	1	1
230.14	3.95	0.85	286.68	177.85	337.37	0	1	1
230.29	3.95	0.85	1003.51	621.89	1180.58	0	1	1
230.17	3.94	0.85	1091.58	673.98	1282.89	0	1	1
230.11	3.94	0.85	494.36	305.23	580.99	0	1	1
230.31	3.94	0.85	896.38	550.22	1051.78	0	1	1
230.11	3.93	0.85	985.55	607.08	1157.53	0	1	1
230.26	3.93	0.85	106.53	65.51	125.06	0	1	1
230.02	3.93	0.85	1591.23	977.71	1867.6	0	1	1
230.1	3.92	0.85	521.48	318.92	611.27	0	1	1
230.35	3.92	0.85	261.89	160.04	306.92	0	1	1
230.07	3.92	0.85	1061.28	648.99	1243.98	0	1	1
229.99	0.71	0.8	76.88	58.23	96.44	1	0	1
229.99	0.71	0.8	246.33	185.64	308.45	1	0	1
230.14	0.7	0.8	72.3	53.83	90.14	1	0	1
230.17	0.7	0.8	60.82	44.89	75.59	1	0	1
230.42	0.69	0.81	23.95	17.57	29.7	1	0	1
229.84	0.69	0.81	291.16	214.22	361.47	1	0	1
230.26	0.69	0.81	7.9	5.74	9.76	1	0	1
229.96	0.68	0.81	23.98	17.2	29.51	1	0	1
230.06	0.68	0.81	62.47	45.09	77.04	1	0	1
230.51	0.67	0.81	45.12	32.3	55.49	1	0	1
229.84	0.67	0.82	269.3	190.89	330.09	1	0	1
230.3	0.66	0.82	0.76	0.54	0.93	1	0	1
230.02	0.66	0.82	14.55	10.23	17.79	1	0	1
229.98	0.65	0.82	141.94	99.09	173.11	1	0	1
230.27	0.64	0.82	44.66	31.11	54.43	1	0	1
229.94	0.63	0.82	252.28	172.94	305.87	1	0	1
230.17	0.62	0.83	60.68	40.78	73.11	1	0	1
230.11	0.62	0.83	63.95	42.68	76.88	1	0	1
230.51	0.62	0.83	47.89	32.21	57.71	1	0	1
229.83	0.62	0.83	208.76	140.39	251.57	1	0	1
230.28	0.62	0.83	1.45	0.96	1.73	1	0	1
230	0.62	0.83	15.08	10.03	18.11	1	0	1
230.01	0.62	0.83	144.48	96.01	173.47	1	0	1
230.29	0.62	0.84	55.73	36.66	66.71	1	0	1
229.96	0.62	0.83	256.45	169.06	307.16	1	0	1
230.15	0.61	0.84	69.98	45.77	83.62	1	0	1
230.16	0.61	0.84	63.81	41.72	76.24	1	0	1
230.49	0.61	0.84	23.12	15.16	27.64	1	0	1
229.83	0.61	0.84	213.83	139.76	255.45	1	0	1
230.28	0.61	0.84	0.64	0.42	0.77	1	0	1
230.03	0.61	0.84	14.5	9.45	17.31	1	0	1
229.87	0.61	0.84	131.35	84.98	156.44	1	0	1
230.4	0.61	0.84	27.19	17.56	32.37	1	0	1
229.87	0.61	0.84	232.77	149.74	276.78	1	0	1
230.25	0.61	0.84	12.4	7.97	14.74	1	0	1
229.85	0.6	0.84	129.78	83.39	154.27	1	0	1
230.39	0.61	0.84	19.37	12.45	23.03	1	0	1
229.84	0.6	0.84	225.38	144.51	267.73	1	0	1
230.28	0.6	0.84	8.61	5.55	10.24	1	0	1
229.85	0.6	0.84	95.5	61.01	113.33	1	0	1
230.41	0.6	0.84	12.36	7.93	14.69	1	0	1
230.23	0.6	0.84	14.3	9.17	16.99	1	0	1
229.84	0.6	0.84	220.22	140.59	261.27	1	0	1
230.27	0.6	0.84	6.74	4.3	8	1	0	1
229.97	0.6	0.84	48	30.39	56.81	1	0	1
230.05	0.59	0.85	146.94	92.87	173.83	1	0	1
230.24	0.6	0.84	91.18	58.03	108.08	1	0	1
230.24	0.59	0.84	168.31	106.71	199.29	1	0	1
230.08	0.59	0.85	122.27	76.98	144.49	1	0	1
230.42	0.59	0.85	26.68	16.8	31.53	1	0	1
229.87	0.59	0.85	215.56	135.87	254.8	1	0	1
